p,d,q,AIC
1,1,1,255.64135489508942
2,1,1,256.8545848381495
1,1,2,256.95869924841054
2,1,0,258.51002094091393
2,1,2,258.9566852986958
1,1,0,263.2410498665285
0,1,2,274.35380252257835
0,1,1,287.0002226775108
0,1,0,346.93244595799104
